Date,Advertiser,Device,Clicks,Cost,Impressions,Accounts_Opened,Funded_Units
10/18/2019,Bank of America Merrill Edge,Mobile,1787,12894.92,66649,35.6,24.25
10/19/2019,Bank of America Merrill Edge,Desktop,1042,8768.399997,45772,19.58,14.09
10/19/2019,Bank of America Merrill Edge,Mobile,1491,14997.6,66068,17.8,12.42
10/19/2019,Bank of America Merrill Edge,Tablet,154,1773.26,8277,1.78,1.35
10/20/2019,Bank of America Merrill Edge,Tablet,126,1177.61,8206,0,0
10/20/2019,Bank of America Merrill Edge,Desktop,988,8884.419995,47312,20.47,14.69
10/20/2019,Bank of America Merrill Edge,Mobile,1281,13789.01,64865,13.35,9.42
10/21/2019,Bank of America Merrill Edge,Desktop,2905,22783.94,106795,62.3,45.25
10/21/2019,Bank of America Merrill Edge,Tablet,241,1463.059999,8928,0.89,0.67
10/21/2019,Bank of America Merrill Edge,Mobile,2375,22416.72999,84122,22.24,16.12
10/22/2019,Bank of America Merrill Edge,Mobile,2621,22551.42,98148,31.15,20.75
10/22/2019,Bank of America Merrill Edge,Tablet,242,1728.219998,9736,0.89,0.67
10/22/2019,Bank of America Merrill Edge,Desktop,2833,20286.63999,100475,52.51,38.46
10/23/2019,Bank of America Merrill Edge,Desktop,3253,41536.36,149585,70.3,50.97
10/23/2019,Bank of America Merrill Edge,Tablet,254,2741.459999,10102,3.56,2.63
10/23/2019,Bank of America Merrill Edge,Mobile,3408,44432.41,129417,30.26,20.65
10/24/2019,Bank of America Merrill Edge,Tablet,278,2748.929999,11270,0.89,0.67
10/24/2019,Bank of America Merrill Edge,Desktop,3242,37299.21999,139824,41.83,31.02
10/24/2019,Bank of America Merrill Edge,Mobile,3526,48260.74,146227,22.25,14.5
10/25/2019,Bank of America Merrill Edge,Mobile,3738,42328.88,146958,32.04,22.59
10/25/2019,Bank of America Merrill Edge,Desktop,3104,27731.31999,120393,58.74,45.1
10/25/2019,Bank of America Merrill Edge,Tablet,279,2299.959999,11838,5.34,3.98
10/26/2019,Bank of America Merrill Edge,Desktop,1292,15202.53999,56598,20.47,14.82
10/26/2019,Bank of America Merrill Edge,Mobile,2218,29139.48,93958,17.8,12.47
10/26/2019,Bank of America Merrill Edge,Tablet,159,1797.119998,9027,0,0
10/27/2019,Bank of America Merrill Edge,Tablet,123,1256.68,7030,0,0
10/27/2019,Bank of America Merrill Edge,Desktop,1046,9479.519998,42879,20.47,15.03
10/27/2019,Bank of America Merrill Edge,Mobile,1474,14918.37,64588,6.23,4.15
10/28/2019,Bank of America Merrill Edge,Mobile,2654,29376.67,97043,23.14,16.64
10/28/2019,Bank of America Merrill Edge,Desktop,3088,23529.51999,104456,60.52,43.14
10/28/2019,Bank of America Merrill Edge,Tablet,230,1629.169997,8237,3.56,2.7
10/29/2019,Bank of America Merrill Edge,Mobile,2832,30183.79,103397,22.25,15.58
10/29/2019,Bank of America Merrill Edge,Desktop,3042,21794.54999,103169,54.29,42.33
10/29/2019,Bank of America Merrill Edge,Tablet,224,1661.869998,8892,0,0
10/30/2019,Bank of America Merrill Edge,Desktop,2772,17560.62,94670,29.37,26.58
10/30/2019,Bank of America Merrill Edge,Mobile,2608,20733.71,96745,18.69,12.76
10/30/2019,Bank of America Merrill Edge,Tablet,217,1142.08,8756,0,0
10/31/2019,Bank of America Merrill Edge,Desktop,2292,11346.48,65904,42.72,30.95
10/31/2019,Bank of America Merrill Edge,Tablet,184,1231.31,6629,1.78,1.23
10/31/2019,Bank of America Merrill Edge,Mobile,1640,9984.139995,55917,21.36,14.24
11/1/2019,Bank of America Merrill Edge,Mobile,2743,32520.72999,111001,18.69,12.56
11/1/2019,Bank of America Merrill Edge,Tablet,285,1990.04,10200,2.67,2.02
11/1/2019,Bank of America Merrill Edge,Desktop,3098,27765.95,129825,51.62,36.66
11/2/2019,Bank of America Merrill Edge,Desktop,1482,13764.84,59720,17.8,12.64
11/2/2019,Bank of America Merrill Edge,Tablet,166,1586.46,9581,0,0
11/2/2019,Bank of America Merrill Edge,Mobile,2107,26332.82,91020,7.12,5.05
11/3/2019,Bank of America Merrill Edge,Mobile,1696,17463.98,75644,15.13,10.9
11/3/2019,Bank of America Merrill Edge,Tablet,141,1071.46,8523,2.67,2.02
11/3/2019,Bank of America Merrill Edge,Desktop,1273,10651.04999,57194,26.7,19.42
11/4/2019,Bank of America Merrill Edge,Mobile,2829,34074.03999,110119,14.24,10.23
11/4/2019,Bank of America Merrill Edge,Desktop,3544,33925.84999,133434,67.63,48.96
11/4/2019,Bank of America Merrill Edge,Tablet,271,2001.489998,11654,4.45,3.27
11/5/2019,Bank of America Merrill Edge,Desktop,3464,32784.37999,136158,53.4,38.04
11/5/2019,Bank of America Merrill Edge,Tablet,320,2794.529999,11614,0,0
11/5/2019,Bank of America Merrill Edge,Mobile,3418,42447.02999,132591,30.26,20.19
11/6/2019,Bank of America Merrill Edge,Mobile,2902,28710.74,107960,27.59,18.72
11/6/2019,Bank of America Merrill Edge,Desktop,3290,25807.26999,120416,45.39,33.12
11/6/2019,Bank of America Merrill Edge,Tablet,224,1595.369999,10485,2.67,2.02
11/7/2019,Bank of America Merrill Edge,Desktop,3251,20037.65,112890,55.18,39.4
11/7/2019,Bank of America Merrill Edge,Mobile,3059,22066.31999,107767,15.13,10.52
11/7/2019,Bank of America Merrill Edge,Tablet,281,1588.759999,11197,5.34,4.04
11/8/2019,Bank of America Merrill Edge,Tablet,256,1662.09,10019,0,0
11/8/2019,Bank of America Merrill Edge,Mobile,2544,20639.59999,90594,29.37,20.94
11/8/2019,Bank of America Merrill Edge,Desktop,2909,19904.04999,99895,40.94,30.2
11/9/2019,Bank of America Merrill Edge,Desktop,1324,11508.36,55383,32.04,22.65
11/9/2019,Bank of America Merrill Edge,Mobile,1553,15690.86999,65366,9.79,6.62
11/9/2019,Bank of America Merrill Edge,Tablet,170,1410.229999,8387,0,0
11/10/2019,Bank of America Merrill Edge,Tablet,153,1489.96,8991,0.89,0.64
11/10/2019,Bank of America Merrill Edge,Desktop,1282,12861.2,57283,18.69,13.88
11/10/2019,Bank of America Merrill Edge,Mobile,1773,19726.88,71326,16.91,11.1
11/11/2019,Bank of America Merrill Edge,Tablet,237,2332.97,9945,0,0
11/11/2019,Bank of America Merrill Edge,Desktop,2879,31519.78,116562,55.18,40.2
11/11/2019,Bank of America Merrill Edge,Mobile,2021,29119.65,83774,17.8,13.26
11/12/2019,Bank of America Merrill Edge,Mobile,2225,28032.09,95552,23.14,16.63
11/12/2019,Bank of America Merrill Edge,Desktop,3583,35354.56999,146995,40.05,28.72
11/12/2019,Bank of America Merrill Edge,Tablet,276,2262.939998,12107,2.67,1.91
11/13/2019,Bank of America Merrill Edge,Mobile,2409,27562.07,98694,25.81,17.51
11/13/2019,Bank of America Merrill Edge,Desktop,3571,31260.3,165589,43.61,33.52
11/13/2019,Bank of America Merrill Edge,Tablet,284,2155.969999,14908,3.56,2.63
11/14/2019,Bank of America Merrill Edge,Desktop,3398,26008.1,158824,41.82,30.21
11/14/2019,Bank of America Merrill Edge,Tablet,318,2406.699998,19163,5.34,3.82
11/14/2019,Bank of America Merrill Edge,Mobile,2976,25762.20999,109160,30.25,21.12
11/15/2019,Bank of America Merrill Edge,Mobile,2364,18205.18,76185,24.92,18.02
11/15/2019,Bank of America Merrill Edge,Tablet,293,1772.649998,16670,1.78,1.12
11/15/2019,Bank of America Merrill Edge,Desktop,3032,17954.36,113850,51.61,37.06
11/16/2019,Bank of America Merrill Edge,Desktop,1507,11098.48,64855,30.26,21.61
11/16/2019,Bank of America Merrill Edge,Mobile,1865,18765.95,70102,18.69,12.21
11/16/2019,Bank of America Merrill Edge,Tablet,188,1360.469999,11284,0,0
11/17/2019,Bank of America Merrill Edge,Tablet,197,1856.849998,12189,1.78,1.35
11/17/2019,Bank of America Merrill Edge,Mobile,1874,21914.65,76769,24.03,16.15
11/17/2019,Bank of America Merrill Edge,Desktop,1476,13339.38,76255,24.92,17.51
11/18/2019,Bank of America Merrill Edge,Tablet,296,2156.98,15655,0,0
11/18/2019,Bank of America Merrill Edge,Desktop,3575,32577.06999,155936,53.4,38.52
11/18/2019,Bank of America Merrill Edge,Mobile,2492,29934.44,90491,30.26,21.23
11/19/2019,Bank of America Merrill Edge,Desktop,3549,32188.67999,153755,67.64,48.63
11/19/2019,Bank of America Merrill Edge,Mobile,3191,37152.32999,119861,28.48,19.31
11/19/2019,Bank of America Merrill Edge,Tablet,327,2773.43,16659,2.67,1.79
11/20/2019,Bank of America Merrill Edge,Tablet,251,1463.189999,13681,2.67,1.91
11/20/2019,Bank of America Merrill Edge,Desktop,3179,21082.88999,119298,64.97,46.94
11/20/2019,Bank of America Merrill Edge,Mobile,2736,25903.21999,98717,27.59,19.77
11/21/2019,Bank of America Merrill Edge,Tablet,251,1874.349997,12308,7.12,4.94
11/21/2019,Bank of America Merrill Edge,Mobile,2260,19147.57,78725,22.25,14.76
11/21/2019,Bank of America Merrill Edge,Desktop,2848,19383.85,102079,71.2,51.44
11/22/2019,Bank of America Merrill Edge,Desktop,2558,16505.56,88925,62.29,44.64
11/22/2019,Bank of America Merrill Edge,Mobile,2038,18368.47,71299,30.26,21.28
11/22/2019,Bank of America Merrill Edge,Tablet,242,2060.999998,10940,0,0
11/23/2019,Bank of America Merrill Edge,Tablet,163,1405.59,8808,0,0
11/23/2019,Bank of America Merrill Edge,Mobile,1905,22121.45,76974,27.59,19.09
11/23/2019,Bank of America Merrill Edge,Desktop,1388,12275.05999,54105,32.93,23.22
11/24/2019,Bank of America Merrill Edge,Tablet,142,1854.439997,8197,0,0
11/24/2019,Bank of America Merrill Edge,Desktop,1222,13030.21,55508,16.02,11.55
11/24/2019,Bank of America Merrill Edge,Mobile,1577,22208.84,69959,22.25,14.8
11/25/2019,Bank of America Merrill Edge,Mobile,2558,31847.39999,89078,18.69,13.23
11/25/2019,Bank of America Merrill Edge,Desktop,3342,29553.9,123309,66.75,48.17
11/25/2019,Bank of America Merrill Edge,Tablet,235,1855.48,10575,6.23,4.42
11/26/2019,Bank of America Merrill Edge,Tablet,255,2038.68,12168,1.78,1.35
11/26/2019,Bank of America Merrill Edge,Desktop,3085,27034.13999,120116,47.17,34.81
11/26/2019,Bank of America Merrill Edge,Mobile,2594,30449.76999,105055,28.48,19.18
11/27/2019,Bank of America Merrill Edge,Desktop,2449,14913.04999,73429,56.96,43.72
11/27/2019,Bank of America Merrill Edge,Mobile,1983,19225.01,71945,28.48,19.62
11/27/2019,Bank of America Merrill Edge,Tablet,203,1084.079999,9059,4.45,3.13
11/28/2019,Bank of America Merrill Edge,Tablet,140,1478.12,7092,1.78,1.12
11/28/2019,Bank of America Merrill Edge,Mobile,1463,17995.28,66344,10.68,7.29
11/28/2019,Bank of America Merrill Edge,Desktop,935,8693.769997,39117,16.02,11.44
11/29/2019,Bank of America Merrill Edge,Desktop,1764,16143.09,67055,42.72,30.9
11/29/2019,Bank of America Merrill Edge,Mobile,1945,29460.61,74518,23.14,15.95
11/29/2019,Bank of America Merrill Edge,Tablet,199,2186.529998,8909,1.78,1.12
11/30/2019,Bank of America Merrill Edge,Desktop,1333,18135.18,65879,20.47,16.51
11/30/2019,Bank of America Merrill Edge,Tablet,155,1962.209999,9542,0.89,0.56
11/30/2019,Bank of America Merrill Edge,Mobile,2026,33765.4,90169,24.03,16.27
12/1/2019,Bank of America Merrill Edge,Desktop,1469,16741.62,68458,20.47,14.7
12/1/2019,Bank of America Merrill Edge,Mobile,2054,31153.38,91407,13.35,8.63
12/1/2019,Bank of America Merrill Edge,Tablet,158,1845.81,9698,1.78,1.35
12/2/2019,Bank of America Merrill Edge,Desktop,3241,27314.59,121944,57.85,41.48
12/2/2019,Bank of America Merrill Edge,Tablet,234,1793.1,10696,4.45,3.37
12/2/2019,Bank of America Merrill Edge,Mobile,2988,34739.8,101973,28.48,19.58
12/3/2019,Bank of America Merrill Edge,Mobile,2706,28127.97,100924,20.47,14.36
12/3/2019,Bank of America Merrill Edge,Desktop,3306,26381.13999,123620,51.62,37.13
12/3/2019,Bank of America Merrill Edge,Tablet,272,2260.969999,12416,1.78,1.23
12/4/2019,Bank of America Merrill Edge,Mobile,2263,20034.25,73415,23.14,15.28
12/4/2019,Bank of America Merrill Edge,Tablet,225,1464.589999,12532,0,0
12/4/2019,Bank of America Merrill Edge,Desktop,2871,17290.13999,106518,63.19,45.51
12/5/2019,Bank of America Merrill Edge,Desktop,2795,19127.55999,114539,44.5,32.11
12/5/2019,Bank of America Merrill Edge,Mobile,2216,18999.71,75011,32.04,21.53
12/5/2019,Bank of America Merrill Edge,Tablet,235,1378.869998,13340,2.67,2.02
12/6/2019,Bank of America Merrill Edge,Desktop,3198,25059.65999,137554,45.39,32.94
12/6/2019,Bank of America Merrill Edge,Mobile,2756,29519.86,100452,30.26,19.96
12/6/2019,Bank of America Merrill Edge,Tablet,273,1843.009999,15886,0,0
12/7/2019,Bank of America Merrill Edge,Tablet,170,1390.749999,10156,0.89,0.56
12/7/2019,Bank of America Merrill Edge,Mobile,1976,25624.79999,80180,26.7,18.18
12/7/2019,Bank of America Merrill Edge,Desktop,1555,14873.58,67640,29.37,21.2
12/8/2019,Bank of America Merrill Edge,Desktop,1487,17422.42,72064,31.15,22.1
12/8/2019,Bank of America Merrill Edge,Tablet,185,2024.25,11065,0,0
12/8/2019,Bank of America Merrill Edge,Mobile,2096,30564.35,88017,16.02,10.99
12/9/2019,Bank of America Merrill Edge,Desktop,3477,29089.40999,154838,68.53,49.95
12/9/2019,Bank of America Merrill Edge,Tablet,284,2146.179999,16044,7.12,4.48
12/9/2019,Bank of America Merrill Edge,Mobile,3122,36577.33999,107004,41.83,27.91
12/10/2019,Bank of America Merrill Edge,Mobile,2679,26970.57999,95901,22.25,15.15
12/10/2019,Bank of America Merrill Edge,Tablet,242,1714.389996,13117,3.56,2.47
12/10/2019,Bank of America Merrill Edge,Desktop,2975,20871.48999,113418,64.97,47.04
12/11/2019,Bank of America Merrill Edge,Mobile,2544,27041.55999,88958,29.37,20.08
12/11/2019,Bank of America Merrill Edge,Tablet,239,1466.479996,13227,8.01,6.08
12/11/2019,Bank of America Merrill Edge,Desktop,3027,20637.40999,117162,62.3,47.85
12/12/2019,Bank of America Merrill Edge,Tablet,274,2129.889998,15014,3.56,2.58
12/12/2019,Bank of America Merrill Edge,Mobile,2587,26540.38,94535,36.49,25.8
12/12/2019,Bank of America Merrill Edge,Desktop,2932,21548.92,121237,53.4,38.68
12/13/2019,Bank of America Merrill Edge,Mobile,2261,23164.03,75355,23.14,15.82
12/13/2019,Bank of America Merrill Edge,Desktop,2838,18862.62999,111061,59.63,42
12/13/2019,Bank of America Merrill Edge,Tablet,216,1296.529998,13899,0.89,0.67
12/14/2019,Bank of America Merrill Edge,Tablet,144,1086.139997,8666,5.34,4.05
12/14/2019,Bank of America Merrill Edge,Mobile,1616,19281.37,60603,22.25,15.13
12/14/2019,Bank of America Merrill Edge,Desktop,1318,12089.84,53722,37.38,27.08
12/15/2019,Bank of America Merrill Edge,Desktop,1331,16243.7,65758,26.7,18.82
12/15/2019,Bank of America Merrill Edge,Tablet,159,1946.909999,10016,2.67,2.02
12/15/2019,Bank of America Merrill Edge,Mobile,1963,29249.86,83763,17.8,12
12/16/2019,Bank of America Merrill Edge,Desktop,3408,33200.97,137858,79.21,60.82
12/16/2019,Bank of America Merrill Edge,Tablet,262,2892.759998,12772,6.23,4.72
12/16/2019,Bank of America Merrill Edge,Mobile,2621,38770.48,96319,13.35,8.96
12/17/2019,Bank of America Merrill Edge,Mobile,2719,31246.44999,99750,30.26,21.23
12/17/2019,Bank of America Merrill Edge,Desktop,3173,24603.67,120887,54.29,39.37
12/17/2019,Bank of America Merrill Edge,Tablet,250,1914.649999,12756,2.67,2.02
12/18/2019,Bank of America Merrill Edge,Tablet,213,1354.08,9739,7.12,5.39
12/18/2019,Bank of America Merrill Edge,Desktop,2716,17596.40999,91454,75.65,57.01
12/18/2019,Bank of America Merrill Edge,Mobile,2125,20647.43,74183,21.36,14.7
12/19/2019,Bank of America Merrill Edge,Tablet,215,1717.99,10666,1.78,1.12
12/19/2019,Bank of America Merrill Edge,Mobile,2255,24691.63,80181,24.92,17.62
12/19/2019,Bank of America Merrill Edge,Desktop,2885,20359.21999,96394,77.43,55.82
12/20/2019,Bank of America Merrill Edge,Tablet,225,1564.659998,11326,0.89,0.64
12/20/2019,Bank of America Merrill Edge,Mobile,1984,20125.27999,71301,14.24,9.76
12/20/2019,Bank of America Merrill Edge,Desktop,2676,18329.77,95876,97.01,70.73
12/21/2019,Bank of America Merrill Edge,Mobile,1407,18092.71999,62761,11.57,8.19
12/21/2019,Bank of America Merrill Edge,Tablet,149,1406.39,10224,1.78,1.35
12/21/2019,Bank of America Merrill Edge,Desktop,1362,12750.55,58123,35.6,25.5
12/22/2019,Bank of America Merrill Edge,Desktop,1284,16238.43999,69016,21.36,15.2
12/22/2019,Bank of America Merrill Edge,Mobile,1889,26535.88999,83064,16.91,11.33
12/22/2019,Bank of America Merrill Edge,Tablet,183,2100.819997,12146,0,0
12/23/2019,Bank of America Merrill Edge,Desktop,3340,29434.41,141944,75.65,54.76
12/23/2019,Bank of America Merrill Edge,Tablet,249,2264.549998,17251,1.78,1.35
12/23/2019,Bank of America Merrill Edge,Mobile,2334,29725.73,90271,14.24,9.87
12/24/2019,Bank of America Merrill Edge,Mobile,1725,21330.67999,70822,22.25,14.92
12/24/2019,Bank of America Merrill Edge,Desktop,1994,17876.43,80897,40.94,28.83
12/24/2019,Bank of America Merrill Edge,Tablet,215,1828.15,12651,0,0
12/25/2019,Bank of America Merrill Edge,Mobile,1696,25313.67999,74787,12.46,8.4
12/25/2019,Bank of America Merrill Edge,Desktop,1129,13695.03,51555,25.81,18.11
12/25/2019,Bank of America Merrill Edge,Tablet,173,1390.719999,9760,4.45,3.14
12/26/2019,Bank of America Merrill Edge,Desktop,3241,29502.58,129589,74.76,53.73
12/26/2019,Bank of America Merrill Edge,Tablet,284,2309.53,17444,2.67,2.02
12/26/2019,Bank of America Merrill Edge,Mobile,2535,28489.07,98081,19.58,13.69
12/27/2019,Bank of America Merrill Edge,Mobile,1786,15147.24,55191,28.48,19.53
12/27/2019,Bank of America Merrill Edge,Tablet,219,1383.429998,14913,3.56,2.47
12/27/2019,Bank of America Merrill Edge,Desktop,2910,18139.38999,98140,75.65,54.94
12/28/2019,Bank of America Merrill Edge,Tablet,146,804.54,7642,1.78,1.12
12/28/2019,Bank of America Merrill Edge,Mobile,1545,11177.38,48924,16.91,11.67
12/28/2019,Bank of America Merrill Edge,Desktop,1319,8311.939997,48900,37.38,27.37
12/29/2019,Bank of America Merrill Edge,Desktop,1062,6289.059993,34207,35.6,25.46
12/29/2019,Bank of America Merrill Edge,Tablet,115,826.489999,5123,5.34,3.82
12/29/2019,Bank of America Merrill Edge,Mobile,1154,9156.939987,34722,15.13,9.97
12/30/2019,Bank of America Merrill Edge,Tablet,153,397.699999,4052,8.9,6.75
12/30/2019,Bank of America Merrill Edge,Mobile,1069,5115.459996,21062,21.36,15.16
12/30/2019,Bank of America Merrill Edge,Desktop,2363,7716.539996,46724,85.44,62.95
12/31/2019,Bank of America Merrill Edge,Mobile,521,915.639999,2668,22.25,16.63
12/31/2019,Bank of America Merrill Edge,Tablet,92,192.23,369,1.78,1.35
12/31/2019,Bank of America Merrill Edge,Desktop,1712,2458.129997,7499,59.63,44.44
1/1/2020,Bank of America Merrill Edge,Desktop,1137,3256.509994,26845,27.59,20.36
1/1/2020,Bank of America Merrill Edge,Tablet,112,324.14,4266,0,0
1/1/2020,Bank of America Merrill Edge,Mobile,612,2273.069993,15498,12.46,8.86
1/2/2020,Bank of America Merrill Edge,Tablet,167,427.599999,6979,0.89,0.67
1/2/2020,Bank of America Merrill Edge,Desktop,3122,8625.639986,67830,84.55,61.74
1/2/2020,Bank of America Merrill Edge,Mobile,1654,6230.469986,35493,20.47,14.59
1/3/2020,Bank of America Merrill Edge,Mobile,1800,10381.14999,40601,30.26,21.66
1/3/2020,Bank of America Merrill Edge,Desktop,2882,11792.84999,62724,72.98,52.66
1/3/2020,Bank of America Merrill Edge,Tablet,162,576.52,5276,0,0
1/4/2020,Bank of America Merrill Edge,Mobile,1355,17684.58999,43310,26.7,18.18
1/4/2020,Bank of America Merrill Edge,Tablet,158,1427.309998,6057,0,0
1/4/2020,Bank of America Merrill Edge,Desktop,1541,13142.31999,48325,49.84,36.05
1/5/2020,Bank of America Merrill Edge,Tablet,145,1510.31,7102,2.67,1.79
1/5/2020,Bank of America Merrill Edge,Desktop,1466,13905.9,50984,41.83,30.33
1/5/2020,Bank of America Merrill Edge,Mobile,1217,17989.02999,43900,15.13,9.86
1/6/2020,Bank of America Merrill Edge,Desktop,3414,25893.35999,118162,66.75,48.28
1/6/2020,Bank of America Merrill Edge,Tablet,226,1141.519999,11064,0.89,0.67
1/6/2020,Bank of America Merrill Edge,Mobile,1827,22913.93999,59405,32.93,23.41
1/7/2020,Bank of America Merrill Edge,Mobile,1959,20072.43999,65635,25.81,18.54
1/7/2020,Bank of America Merrill Edge,Tablet,216,1350.59,15876,6.23,4.42
1/7/2020,Bank of America Merrill Edge,Desktop,3672,23698.13999,148109,89.89,65.92
1/8/2020,Bank of America Merrill Edge,Desktop,3490,18988.59,125080,84.55,62.46
1/8/2020,Bank of America Merrill Edge,Mobile,2009,17060.12,59493,30.26,21.95
1/8/2020,Bank of America Merrill Edge,Tablet,236,1263.759998,14115,1.78,1.23
1/9/2020,Bank of America Merrill Edge,Desktop,3414,16882.16999,121985,67.64,49.49
1/9/2020,Bank of America Merrill Edge,Tablet,215,1022.499997,12909,3.56,2.65
1/9/2020,Bank of America Merrill Edge,Mobile,2338,17101.60999,76047,27.59,18.85
1/10/2020,Bank of America Merrill Edge,Mobile,2170,13623.33,62017,42.72,29.49
1/10/2020,Bank of America Merrill Edge,Tablet,198,792.99,10170,5.34,4.04
1/10/2020,Bank of America Merrill Edge,Desktop,2826,12038.18999,87019,64.97,46.74
1/11/2020,Bank of America Merrill Edge,Desktop,1319,7097.269997,46720,43.61,31.84
1/11/2020,Bank of America Merrill Edge,Tablet,141,696.569998,6965,4.45,3.13
1/11/2020,Bank of America Merrill Edge,Mobile,1937,14976.66999,61790,16.91,10.98
1/12/2020,Bank of America Merrill Edge,Tablet,155,1149.859999,8917,1.78,1.12
1/12/2020,Bank of America Merrill Edge,Desktop,1379,9028.929997,54555,32.04,22.94
1/12/2020,Bank of America Merrill Edge,Mobile,1854,14584.15,64388,17.8,12.12
1/13/2020,Bank of America Merrill Edge,Desktop,3439,13293.47,120134,74.76,54.89
1/13/2020,Bank of America Merrill Edge,Tablet,255,1153.499997,14867,6.23,4.64
1/13/2020,Bank of America Merrill Edge,Mobile,2618,17782.33999,76899,34.71,24.82
1/14/2020,Bank of America Merrill Edge,Mobile,2591,16046.79999,78302,32.04,21.85
1/14/2020,Bank of America Merrill Edge,Tablet,253,1249.789999,12321,2.67,2.02
1/14/2020,Bank of America Merrill Edge,Desktop,3321,12728.97,102686,87.22,63.79
1/15/2020,Bank of America Merrill Edge,Desktop,3055,11164.33999,89777,85.43,61.48
1/15/2020,Bank of America Merrill Edge,Tablet,213,939.499997,10830,3.56,2.46
1/15/2020,Bank of America Merrill Edge,Mobile,2072,11571.64999,60628,38.27,26.96
1/16/2020,Bank of America Merrill Edge,Mobile,2185,12583.04999,66479,35.6,25.14
1/16/2020,Bank of America Merrill Edge,Tablet,205,800.469998,11136,7.12,5.32
1/16/2020,Bank of America Merrill Edge,Desktop,3183,12636.85998,99382,79.21,57.17
1/17/2020,Bank of America Merrill Edge,Mobile,2217,12684.4,65706,33.82,24.04
1/17/2020,Bank of America Merrill Edge,Desktop,2857,10866.58999,82844,59.63,43.45
1/17/2020,Bank of America Merrill Edge,Tablet,196,795.849999,10092,7.12,5.16
1/18/2020,Bank of America Merrill Edge,Tablet,147,955.509998,6977,1.78,1.23
1/18/2020,Bank of America Merrill Edge,Desktop,1617,9670.899994,53561,40.94,28.67
1/18/2020,Bank of America Merrill Edge,Mobile,2007,16472.68,68246,20.47,13.79
1/19/2020,Bank of America Merrill Edge,Mobile,1800,18080.77,70409,11.57,7.74
1/19/2020,Bank of America Merrill Edge,Tablet,137,1208.559999,8108,2.67,1.68
1/19/2020,Bank of America Merrill Edge,Desktop,1317,10529.09999,58801,28.48,20.63
1/20/2020,Bank of America Merrill Edge,Desktop,2194,16946.41,106828,55.18,39.22
1/20/2020,Bank of America Merrill Edge,Tablet,172,1653.11,11954,1.78,1.12
